@relation Acc_Data_compiled
@attribute x1 numeric
@attribute y1 numeric
@attribute z1 numeric
@attribute x2 numeric
@attribute y2 numeric
@attribute z2 numeric
@attribute label {A,B,C,D,E}
@data
362.0,279.0,303.0,375.0,219.0,247.0,A
362.0,278.0,303.0,374.0,220.0,246.0,A
363.0,279.0,303.0,375.0,220.0,248.0,A
363.0,279.0,301.0,375.0,221.0,246.0,A
364.0,279.0,302.0,375.0,220.0,246.0,A
363.0,279.0,302.0,375.0,221.0,246.0,A
363.0,279.0,302.0,375.0,220.0,246.0,A
362.0,279.0,301.0,375.0,221.0,245.0,A
362.0,278.0,303.0,375.0,221.0,247.0,A
362.0,279.0,303.0,375.0,220.0,249.0,A
362.0,279.0,303.0,375.0,221.0,247.0,A
362.0,279.0,303.0,375.0,220.0,247.0,A
362.0,279.0,302.0,374.0,220.0,247.0,A
363.0,279.0,301.0,375.0,220.0,247.0,A
363.0,279.0,302.0,374.0,220.0,246.0,A
363.0,279.0,301.0,374.0,221.0,246.0,A
363.0,279.0,302.0,375.0,220.0,246.0,A
362.0,279.0,302.0,375.0,220.0,246.0,A
363.0,279.0,302.0,376.0,220.0,246.0,A
363.0,279.0,302.0,374.0,221.0,246.0,A
362.0,279.0,303.0,375.0,220.0,247.0,A
363.0,279.0,302.0,375.0,221.0,247.0,A
362.0,279.0,302.0,375.0,220.0,248.0,A
362.0,279.0,302.0,375.0,220.0,248.0,A
363.0,279.0,302.0,375.0,220.0,247.0,A
362.0,278.0,302.0,374.0,221.0,246.0,A
362.0,279.0,302.0,375.0,220.0,246.0,A
362.0,279.0,302.0,375.0,220.0,247.0,A
363.0,278.0,302.0,375.0,221.0,247.0,A
363.0,279.0,301.0,375.0,220.0,246.0,A
362.0,279.0,301.0,374.0,221.0,247.0,A
362.0,279.0,302.0,375.0,220.0,248.0,A
364.0,279.0,302.0,374.0,221.0,247.0,A
363.0,279.0,301.0,374.0,221.0,246.0,A
363.0,280.0,302.0,375.0,220.0,247.0,A
363.0,279.0,302.0,376.0,219.0,247.0,A
363.0,280.0,302.0,376.0,220.0,246.0,A
363.0,279.0,302.0,375.0,220.0,246.0,A
362.0,278.0,303.0,375.0,220.0,246.0,A
362.0,279.0,302.0,374.0,221.0,245.0,A
362.0,279.0,302.0,374.0,220.0,247.0,A
362.0,279.0,302.0,374.0,220.0,245.0,A
362.0,279.0,304.0,374.0,219.0,245.0,A
361.0,279.0,304.0,374.0,219.0,246.0,A
363.0,280.0,303.0,374.0,219.0,246.0,A
362.0,280.0,303.0,375.0,219.0,247.0,A
363.0,279.0,303.0,374.0,219.0,246.0,A
362.0,279.0,303.0,375.0,219.0,246.0,A
362.0,280.0,304.0,375.0,220.0,245.0,A
362.0,279.0,304.0,374.0,219.0,246.0,A
362.0,279.0,304.0,374.0,219.0,246.0,A
362.0,279.0,303.0,374.0,220.0,246.0,A
363.0,279.0,301.0,374.0,220.0,245.0,A
363.0,279.0,300.0,374.0,219.0,244.0,A
363.0,278.0,302.0,373.0,219.0,244.0,A
362.0,278.0,301.0,374.0,218.0,244.0,A
361.0,278.0,303.0,374.0,220.0,246.0,A
361.0,279.0,303.0,375.0,220.0,247.0,A
