@relation MicTrain
@attribute f_0 numeric
@attribute f_1 numeric
@attribute f_2 numeric
@attribute f_3 numeric
@attribute f_4 numeric
@attribute f_5 numeric
@attribute f_6 numeric
@attribute f_7 numeric
@attribute f_8 numeric
@attribute f_9 numeric
@attribute f_10 numeric
@attribute f_11 numeric
@attribute f_12 numeric
@attribute f_13 numeric
@attribute f_14 numeric
@attribute f_15 numeric
@attribute f_16 numeric
@attribute f_17 numeric
@attribute f_18 numeric
@attribute f_19 numeric
@attribute f_20 numeric
@attribute f_21 numeric
@attribute f_22 numeric
@attribute f_23 numeric
@attribute f_24 numeric
@attribute f_25 numeric
@attribute f_26 numeric
@attribute f_27 numeric
@attribute f_28 numeric
@attribute f_29 numeric
@attribute f_30 numeric
@attribute f_31 numeric
@attribute f_32 numeric
@attribute f_33 numeric
@attribute f_34 numeric
@attribute f_35 numeric
@attribute f_36 numeric
@attribute f_37 numeric
@attribute f_38 numeric
@attribute f_39 numeric
@attribute f_40 numeric
@attribute f_41 numeric
@attribute f_42 numeric
@attribute f_43 numeric
@attribute f_44 numeric
@attribute f_45 numeric
@attribute f_46 numeric
@attribute f_47 numeric
@attribute f_48 numeric
@attribute f_49 numeric
@attribute f_50 numeric
@attribute f_51 numeric
@attribute f_52 numeric
@attribute f_53 numeric
@attribute f_54 numeric
@attribute f_55 numeric
@attribute f_56 numeric
@attribute f_57 numeric
@attribute f_58 numeric
@attribute f_59 numeric
@attribute f_60 numeric
@attribute f_61 numeric
@attribute f_62 numeric
@attribute f_63 numeric
@attribute f_64 numeric
@attribute f_65 numeric
@attribute f_66 numeric
@attribute f_67 numeric
@attribute f_68 numeric
@attribute f_69 numeric
@attribute f_70 numeric
@attribute f_71 numeric
@attribute f_72 numeric
@attribute f_73 numeric
@attribute f_74 numeric
@attribute f_75 numeric
@attribute f_76 numeric
@attribute f_77 numeric
@attribute f_78 numeric
@attribute f_79 numeric
@attribute f_80 numeric
@attribute f_81 numeric
@attribute f_82 numeric
@attribute f_83 numeric
@attribute f_84 numeric
@attribute f_85 numeric
@attribute f_86 numeric
@attribute f_87 numeric
@attribute f_88 numeric
@attribute f_89 numeric
@attribute f_90 numeric
@attribute f_91 numeric
@attribute f_92 numeric
@attribute f_93 numeric
@attribute f_94 numeric
@attribute f_95 numeric
@attribute f_96 numeric
@attribute f_97 numeric
@attribute f_98 numeric
@attribute f_99 numeric
@attribute f_100 numeric
@attribute f_101 numeric
@attribute f_102 numeric
@attribute f_103 numeric
@attribute f_104 numeric
@attribute f_105 numeric
@attribute f_106 numeric
@attribute f_107 numeric
@attribute f_108 numeric
@attribute f_109 numeric
@attribute f_110 numeric
@attribute f_111 numeric
@attribute f_112 numeric
@attribute f_113 numeric
@attribute f_114 numeric
@attribute f_115 numeric
@attribute f_116 numeric
@attribute f_117 numeric
@attribute f_118 numeric
@attribute f_119 numeric
@attribute f_120 numeric
@attribute f_121 numeric
@attribute f_122 numeric
@attribute f_123 numeric
@attribute f_124 numeric
@attribute f_125 numeric
@attribute f_126 numeric
@attribute f_127 numeric
@attribute f_128 numeric
@attribute f_129 numeric
@attribute f_130 numeric
@attribute f_131 numeric
@attribute f_132 numeric
@attribute f_133 numeric
@attribute f_134 numeric
@attribute f_135 numeric
@attribute f_136 numeric
@attribute f_137 numeric
@attribute f_138 numeric
@attribute f_139 numeric
@attribute f_140 numeric
@attribute f_141 numeric
@attribute f_142 numeric
@attribute f_143 numeric
@attribute f_144 numeric
@attribute f_145 numeric
@attribute f_146 numeric
@attribute f_147 numeric
@attribute f_148 numeric
@attribute f_149 numeric
@attribute f_150 numeric
@attribute f_151 numeric
@attribute f_152 numeric
@attribute f_153 numeric
@attribute f_154 numeric
@attribute f_155 numeric
@attribute f_156 numeric
@attribute f_157 numeric
@attribute f_158 numeric
@attribute f_159 numeric
@attribute f_160 numeric
@attribute f_161 numeric
@attribute f_162 numeric
@attribute f_163 numeric
@attribute f_164 numeric
@attribute f_165 numeric
@attribute f_166 numeric
@attribute f_167 numeric
@attribute f_168 numeric
@attribute f_169 numeric
@attribute f_170 numeric
@attribute f_171 numeric
@attribute f_172 numeric
@attribute f_173 numeric
@attribute f_174 numeric
@attribute f_175 numeric
@attribute f_176 numeric
@attribute f_177 numeric
@attribute f_178 numeric
@attribute f_179 numeric
@attribute f_180 numeric
@attribute f_181 numeric
@attribute f_182 numeric
@attribute f_183 numeric
@attribute f_184 numeric
@attribute f_185 numeric
@attribute f_186 numeric
@attribute f_187 numeric
@attribute f_188 numeric
@attribute f_189 numeric
@attribute f_190 numeric
@attribute f_191 numeric
@attribute f_192 numeric
@attribute f_193 numeric
@attribute f_194 numeric
@attribute f_195 numeric
@attribute f_196 numeric
@attribute f_197 numeric
@attribute f_198 numeric
@attribute f_199 numeric
@attribute label {A,B,C}
@data
0.14688277,0.13410078,0.13962688,0.14282565,0.13168962,0.14718705,0.13201453,0.14295928,0.1397622,0.13416855,0.14625557,0.1310105,0.1466217,0.13500269,0.1388747,0.1424021,0.13136987,0.14614573,0.12942834,0.13770206,0.12996209,0.11952632,0.12756905,0.1069595,0.118607454,0.1553,0.16610506,0.19807751,0.5190647,1.0044438,1.3646439,1.6108773,1.887994,2.3511992,2.7933002,3.0978632,3.3858194,3.7715209,4.0713415,4.061693,4.2615294,4.5733933,4.684637,4.572381,4.54507,4.4721513,4.410003,4.3886724,4.4915924,4.5178185,4.4174237,4.426864,4.404058,4.336656,4.551542,4.5876937,3.5978456,3.0467188,4.3183174,5.0873337,4.8603835,4.257513,4.0121694,3.694676,3.1844218,2.3857698,2.7829452,3.4222362,3.8840451,4.7720113,4.6697993,4.372584,4.8091006,5.086454,4.5669317,3.989723,4.1885743,5.2892723,6.0624785,6.214051,6.8609376,7.168124,5.8564286,1.9992032,2.9418669,3.4900508,1.9986135,3.6520047,4.8968377,6.3921037,6.559964,6.444599,6.5378246,5.279007,6.589723,6.572055,5.6690245,4.8779817,6.332331,7.2768264,7.6324935,7.3247485,6.1369047,4.8898206,4.288886,4.305802,3.694564,2.874495,2.5532799,3.9975812,5.20427,5.69741,4.958542,5.064418,5.461459,5.4617496,5.393963,4.8889284,3.8461058,2.3598065,2.4065852,2.1111925,1.0306537,1.3186388,1.2628577,1.1048698,2.0416536,2.1103055,2.8532755,2.0631433,2.2566748,3.2171946,4.332387,4.4747505,3.8037248,3.28835,3.2471316,2.9831479,3.6296206,3.050791,2.9294333,3.2221088,4.2118173,3.235659,2.7650208,4.034026,3.4468672,2.9744213,2.884692,3.1113832,2.3510895,1.7184834,2.3615987,3.277211,3.9084969,3.767386,3.6184006,2.904875,4.269814,3.8533893,3.757444,2.6951473,1.7962598,1.6030693,0.35510802,1.4249609,1.4306315,3.6041071,3.60374,4.6452527,4.506957,4.273053,5.375011,5.930021,5.5695076,4.82443,4.0382133,3.54033,3.7404394,2.502546,1.0926127,0.7615703,1.3098698,1.0068319,0.71731734,1.1104985,1.8186182,2.8502524,2.2383807,3.796143,3.2665539,2.8842587,2.238036,2.7075322,2.7479453,2.2248564,1.3999077,1.0758181,3.4349108,0.0,A
0.26220748,0.26141715,0.26175845,0.26270738,0.26167524,0.26319805,0.26200855,0.26254123,0.26272398,0.2638374,0.2623345,0.26310208,0.26190266,0.2629159,0.26134068,0.26147762,0.26130214,0.26059172,0.25967884,0.2564299,0.25544867,0.2525569,0.25110355,0.24779078,0.24659711,0.25129533,0.26395717,0.2972759,0.34245083,0.34815937,0.40121642,0.44654676,0.48181883,0.5488609,0.7037297,0.9309111,1.1853081,1.4813979,1.3596454,1.3733329,1.463937,1.2141681,1.0906521,1.2065315,1.3975757,1.6374314,1.8714871,2.1090252,2.0571234,2.0169823,2.4031153,2.4773712,2.382604,2.388941,2.0719547,2.5829082,3.859775,4.013237,2.7030368,1.6666293,2.0726743,2.7391124,2.944796,3.1684701,3.4131107,3.5659063,3.0443263,2.3564005,1.4576005,1.6464276,2.3759887,2.4958072,2.7269166,3.5778317,3.9007564,3.6624913,2.2942626,2.0281973,2.9209921,2.308271,3.31189,4.655979,6.005254,4.5113254,2.342904,4.962606,4.0543675,1.8875583,1.2676228,1.2032747,2.4968,2.612186,3.4077742,2.7048223,2.3961072,3.6856065,3.5117915,2.0653267,1.4708992,2.6208315,3.3599665,4.7548804,5.334461,4.953911,3.6899226,3.8270593,3.9771757,3.7768586,3.0417538,1.59704,0.48923725,1.0089626,1.381687,0.99281496,2.2071126,3.210712,4.3713017,4.6920924,5.2823286,4.7201614,3.4391654,4.465456,3.5409753,2.5970824,2.7222097,2.3553236,1.9825598,1.9572214,1.9832203,3.0549428,1.2405835,1.4936602,3.0185816,4.6801043,4.603812,3.4638767,4.8419213,4.0074854,5.1258464,3.90997,3.597858,3.2729053,3.717709,4.3575883,1.9376575,5.267977,5.764172,4.78438,4.210755,5.08348,5.429992,3.4394336,2.7442415,1.9857781,3.684018,3.608377,4.5077257,2.6009374,3.3762052,4.5092735,5.414098,4.712255,3.7577372,4.329209,3.9015462,2.3300939,2.7153807,1.6895337,0.97832125,2.1650455,0.96339077,1.250106,2.6109774,2.2331831,2.300152,1.6489973,1.4899046,1.7457812,1.7301605,2.7003384,2.6146061,3.6286526,4.2473664,3.1224785,2.357077,1.7736675,2.8646412,3.6742659,3.3920383,4.720488,3.5340202,3.0632074,2.2064629,3.084021,1.3397686,1.1016822,2.1462126,5.127913,6.6378427,0.0,A
0.46709663,0.402796,0.31214944,0.23028098,0.22073363,0.29789567,0.39361486,0.46779177,0.50046545,0.48482475,0.42323366,0.327668,0.23047058,0.20746757,0.2908878,0.4009344,0.4844306,0.52163327,0.49857867,0.41734752,0.2861424,0.20570211,0.22023049,0.3362244,0.49821672,0.62611645,0.71860313,0.82232624,1.0160791,1.384741,1.9427212,2.6670742,3.5249557,4.459176,5.422512,6.38462,7.2714825,8.061598,8.739298,9.265809,9.649157,9.916853,10.077849,10.168232,10.234263,10.3103075,10.424873,10.589936,10.79524,11.023176,11.235429,11.410418,11.532921,11.579679,11.572582,11.543045,11.512308,11.485537,11.45153,11.37708,11.222705,10.966505,10.603464,10.167907,9.712176,9.314051,9.050189,8.969622,9.072792,9.306839,9.589526,9.833496,9.977019,9.995747,9.898543,9.737506,9.591645,9.537536,9.622088,9.836851,10.113517,10.357859,10.47855,10.414879,10.155133,9.738369,9.25744,8.834739,8.58431,8.566149,8.750994,9.041578,9.314782,9.47298,9.467227,9.297031,9.023008,8.745808,8.597006,8.67427,9.001735,9.513719,10.085822,10.589757,10.923432,11.02542,10.883919,10.522182,10.0006695,9.40421,8.831153,8.369492,8.084163,7.994408,8.077606,8.284617,8.560641,8.853073,9.122189,9.339235,9.478546,9.531344,9.493263,9.372324,9.188085,8.973208,8.76038,8.583321,8.472698,8.435304,8.475757,8.574454,8.704655,8.833708,8.925765,8.950599,8.888884,8.731416,8.49475,8.202398,7.892176,7.6018214,7.3528204,7.1418123,6.940944,6.7105355,6.4096026,6.020897,5.5477147,5.0204663,4.4865084,4.0007668,3.60226,3.307506,3.1016886,2.9514148,2.8232663,2.6936364,2.5629811,2.4396613,2.3474705,2.30683,2.3366816,2.4347978,2.5798838,2.7393162,2.8675435,2.9236026,2.874845,2.7136712,2.4617634,2.195927,2.0406172,2.1133835,2.3972952,2.7687485,3.1038148,3.3166564,3.3677802,3.2546809,3.006468,2.6790335,2.3436234,2.0760112,1.9266081,1.8902975,1.9131342,1.9378891,1.9216723,1.8543483,1.739224,1.5965861,1.4572939,1.353185,1.2992964,1.2844551,1.2809213,1.2549092,1.1834193,0.0,A
0.20542562,0.21465035,0.21757638,0.22289643,0.23704278,0.25552884,0.26789728,0.2790914,0.2984436,0.32078505,0.33754307,0.35308915,0.37527192,0.40037557,0.42129385,0.43692046,0.46248546,0.48947406,0.51096267,0.52937174,0.5550602,0.5828809,0.6048934,0.6160328,0.6366395,0.6524837,0.64637166,0.8586713,1.5843655,2.0331383,1.8554579,1.5192685,1.1887357,1.0135665,1.2624073,1.8112301,2.305053,2.5723314,2.6198323,2.8266249,3.0287132,2.8922393,2.4190772,2.0114865,1.7590177,1.4341047,1.0641527,0.849684,0.5584764,0.4393634,0.8194866,1.1376518,2.1474087,1.935532,2.742997,3.4690578,3.706065,3.0325506,3.549332,4.5433393,4.978733,4.967562,4.9111166,4.8317757,4.618135,4.5595813,4.944076,5.3165503,5.4424024,5.911499,5.6674623,5.4012003,5.2752585,5.035833,4.835389,4.1702504,3.7770894,3.9981732,3.76627,3.6199665,4.224265,4.5888853,5.109665,3.589959,3.036346,3.9508157,2.7193115,2.3696935,2.7369301,2.9337275,3.551286,3.6284328,3.989711,4.512542,4.1830997,5.247383,5.841703,5.8534803,5.582011,6.4491367,7.129652,7.24357,7.5357676,6.718792,6.945817,7.9737353,8.645717,9.145791,7.6290092,6.1351943,5.069224,5.3729053,6.030407,4.86971,4.9593563,4.4685354,5.459903,5.178406,5.9596934,5.1219473,5.773814,6.227144,4.138086,3.5279284,3.8765473,3.6762574,3.540476,4.0767365,3.7404475,3.5358512,3.6889002,4.0833135,5.391335,5.6552086,4.4519296,3.5158627,4.012536,3.9152763,4.009103,3.479159,4.773103,4.404978,4.7833533,3.0512123,3.4776244,2.645132,1.1855243,1.6032138,2.1925788,2.5444553,2.4600682,5.0002236,5.2672887,6.2939157,4.6438065,3.731777,2.567834,3.1226823,3.6495464,3.2654364,2.2632241,3.3091738,3.4126823,3.4151597,5.190205,5.756317,6.393475,6.6873045,6.113178,7.5641756,7.185578,7.7095213,7.9941626,6.0410457,4.954312,4.942923,4.8536835,3.4838755,2.5009694,1.8531989,3.4295208,4.737396,5.95385,5.1050563,5.4743676,4.885302,4.8448567,5.523493,4.6113367,5.98668,5.2659626,5.6167006,5.5232053,6.8821945,6.4647317,4.9876876,3.1678927,1.3585429,4.11045,0.0,A
0.44709012,0.4484112,0.45014405,0.45382044,0.4569624,0.46116716,0.46386546,0.4663661,0.4670982,0.46768835,0.46487534,0.4622959,0.4555413,0.44772676,0.43819043,0.42760336,0.41487956,0.4021837,0.39265427,0.38623324,0.38851887,0.40387022,0.4353067,0.48395798,0.55516285,0.65021974,0.78465885,0.98738694,1.3008943,1.6543446,1.9694854,2.0766177,2.0968554,2.0546722,2.1287122,2.8933563,4.6654162,6.68225,8.478138,10.527318,12.84864,15.106474,17.059116,18.70552,20.184387,21.554377,22.746964,23.77798,24.96012,25.87584,26.159498,26.647978,27.244226,27.228186,27.488014,26.847586,25.043266,25.848953,27.432001,27.1625,25.844055,24.43959,23.67684,22.8987,21.885206,20.890774,20.570059,20.71561,20.894648,20.600279,20.050976,19.252474,18.841171,18.23101,17.060219,16.273537,16.2971,16.303976,16.59479,15.984257,16.293692,16.596878,15.778694,11.151174,11.402848,11.978095,7.758657,7.7043023,8.17937,10.132563,10.99641,11.265113,11.679703,10.3785305,10.329864,10.964784,10.582137,8.889915,9.46254,10.052129,11.125414,11.543194,11.630738,10.655036,8.517161,7.857796,7.2675195,6.36261,6.0098066,5.4345827,5.209058,6.088688,6.104836,5.3188496,5.9930606,7.008009,7.756567,8.489762,8.546143,6.841192,6.848766,7.7783017,7.534329,6.605482,6.307547,5.660623,4.4868217,3.7892802,4.6955132,4.588463,3.4119534,3.3645573,3.7763448,4.7354836,4.858489,4.4456153,4.052526,3.1658833,3.2669585,2.7905998,2.855338,2.096645,2.239641,3.1927402,1.9941221,3.0953186,3.8261342,4.194684,3.7081196,4.30766,4.2656546,3.9596863,4.361241,4.3169956,3.582638,3.1902974,4.2405014,4.145392,3.8406,4.377793,4.5115986,5.275523,5.7999606,5.8303175,6.521657,6.6557345,6.8330965,6.4104543,5.790279,5.4614267,5.0883503,5.9114795,5.78669,5.290021,5.113748,5.273153,6.3136835,6.8177147,7.245311,9.116001,9.486865,10.000432,9.827035,9.903971,10.68191,9.7498045,9.579418,10.177876,10.847444,9.2377,9.124395,9.383891,9.680178,9.568047,7.9589705,8.304083,9.638401,12.077562,12.209054,0.0,A
0.6285931,0.70407236,0.742681,0.7150177,0.6399753,0.5805169,0.60113156,0.6726681,0.72269875,0.70943713,0.63524586,0.56224453,0.5621794,0.62814045,0.6875698,0.68752605,0.6207158,0.537749,0.5170436,0.5777648,0.6465267,0.65680575,0.59641725,0.5094301,0.4897202,0.56033456,0.6312283,0.61013633,0.44515485,0.24521728,0.43590522,0.93222433,1.4474677,1.9196094,2.3098161,2.5582886,2.68874,2.7989914,2.8891387,3.0473123,3.1839392,3.3260522,3.4241114,3.4956286,3.53851,3.6135488,3.7046056,3.8048682,3.8178198,3.758357,3.575722,3.5023768,3.3972955,3.4919093,3.6504676,3.8349776,3.8703828,3.7010722,3.474705,3.3058708,3.2830484,3.344708,3.4367764,3.4713016,3.3443542,2.934945,2.307641,1.8574393,2.556295,2.4552662,2.5096738,2.457279,2.614439,3.0085058,3.4220245,3.6678913,3.7010877,3.3822021,2.7897484,2.0831118,1.8970739,2.5112014,3.353034,4.19949,4.9788003,5.3939457,5.243689,4.8332396,4.345259,3.8365622,3.34705,3.0275102,2.885241,2.857653,2.8006966,2.6504667,2.4688675,2.4004962,2.5480044,2.7727754,2.8710072,2.7192407,2.4136915,2.2974935,2.6469517,3.4795954,4.31477,4.8684897,5.022332,4.7623057,4.2812376,3.725089,3.410293,3.389131,3.4553826,3.4944427,3.4776952,3.6539612,4.057087,5.0570054,5.699525,6.098423,6.1089115,5.887928,5.519027,5.3832765,5.7018003,6.251994,6.7317815,6.8357325,6.5687194,6.038104,5.5132422,5.525122,5.8746243,6.5997734,6.473332,7.188773,6.802243,5.707598,4.166388,2.8897066,2.6684947,3.477695,4.1667113,4.5290055,4.44245,4.3166356,4.202978,4.1206098,3.8634236,3.2172997,2.373648,1.5666292,1.379667,2.044467,2.4089296,2.380445,2.0243022,1.444794,1.0949975,1.5012991,2.0621643,2.6013958,2.9165382,3.1988862,3.3396833,3.0413706,2.6086318,1.9893162,1.3297437,2.002715,1.8628745,2.5588484,1.801332,1.2282315,1.6453475,3.758193,5.654027,6.823661,7.1174006,6.176708,4.470166,2.065547,1.6601964,3.6798644,5.3836346,6.0577273,5.65384,4.2318916,3.1919227,2.2291465,2.2126272,2.6974058,3.0056095,2.9182267,2.5718243,2.3019018,2.4201324,0.0,A
0.31736004,0.47186807,0.5996295,0.67159736,0.66989565,0.59836495,0.470654,0.32717538,0.27035803,0.37667066,0.539107,0.6748174,0.74885297,0.75060624,0.6787359,0.5501681,0.414438,0.37048504,0.48016462,0.6519632,0.80401736,0.89283997,0.9023487,0.8307526,0.6979266,0.55760145,0.5191162,0.6488541,0.86450225,1.0740287,1.2269663,1.2939222,1.2764363,1.1774389,1.0336064,0.9220891,0.911622,1.0276873,1.207464,1.3715425,1.465067,1.4678923,1.3742715,1.2222399,1.0863926,1.0717599,1.2260047,1.4802803,1.7368982,1.9213941,1.9966445,1.946398,1.7863805,1.5794616,1.4400779,1.5073603,1.7961642,2.1903784,2.564817,2.8387184,2.967315,2.9453502,2.8136714,2.652723,2.591799,2.7171597,3.0232759,3.4045837,3.7432673,3.957122,3.9934027,3.8473642,3.5496817,3.181566,2.8555183,2.7069905,2.7845829,3.0134223,3.2541068,3.3875284,3.342839,3.0939603,2.6433582,2.0201921,1.276797,1.205479,1.3335316,1.1966623,1.8530194,2.3621333,2.690135,2.8275783,2.7891712,2.611146,2.3663728,2.1615381,2.099566,2.2164695,2.4350648,2.6470137,2.760859,2.7254043,2.5260072,2.1684365,1.6758062,1.089285,0.51366353,0.67615515,0.84714335,1.3836591,1.820261,2.1306765,2.3008254,2.3263206,2.2080843,1.9614662,1.6094897,1.1924664,0.7784089,0.54478866,0.7025518,1.0257465,1.2980936,1.4700898,1.5071274,1.4045789,1.1753341,0.86372125,0.5923473,0.94115967,1.0066347,1.4271948,1.79775,2.0686908,2.2137918,2.2198482,2.089125,1.8326807,1.4689541,1.0217373,0.5589959,0.4224382,0.7641713,1.2047336,1.3976431,1.719203,1.943963,2.0669262,2.089285,2.0171485,1.8650379,1.6582742,1.4371736,1.2645668,1.2203351,1.338391,1.5652957,1.8280973,2.069793,2.2537394,2.3585696,2.380465,2.3208008,2.1861,1.9856493,1.7353948,1.4539796,1.1619042,0.8875075,0.9547965,1.5744383,1.2761557,0.6987282,1.0320688,0.9243122,1.2224432,1.5763378,1.9342606,2.247583,2.4728315,2.5970502,2.6398127,2.6652899,2.7711637,3.045604,3.4965801,4.057268,4.6325946,5.1294656,5.4831634,5.6565547,5.6438603,5.476407,5.2042165,4.897175,4.6200166,4.408873,4.2580748,4.1288013,0.0,A
1.879005,1.888569,1.880832,1.8851966,1.8836066,1.8807659,1.8852868,1.8772072,1.8852198,1.8747721,1.8834927,1.8750262,1.8792958,1.876298,1.8738097,1.8765982,1.869453,1.877288,1.8652711,1.8761232,1.8653966,1.8731587,1.8673102,1.871285,1.8776122,1.8846126,1.9288758,1.9420612,1.8190928,1.4230186,1.1066138,1.2421442,1.6155158,2.1549902,2.9849613,3.6287699,3.7991521,4.174734,4.542674,4.624323,4.288115,3.8871198,3.779571,4.03472,4.2622986,4.2421603,4.196006,4.179189,3.7673016,3.6954138,4.2641215,4.0744953,3.0548098,2.8551,3.0459652,3.2647402,4.093473,3.6176593,1.9528226,1.6440656,2.5267353,2.607289,2.4133942,2.87271,3.2834842,3.2534785,2.6482594,2.643848,2.2133842,1.3146206,1.7333596,2.3470955,2.970803,3.6419587,3.973435,4.0159607,4.476931,4.6672845,5.3825426,4.873931,4.397365,4.5615845,6.4363317,7.8630104,6.7824507,9.544296,10.3629055,6.5307055,4.256165,2.4703212,2.1867359,3.4332063,6.0624495,8.669041,6.401862,6.3348846,5.914608,5.9243073,3.983306,3.5715134,3.2187858,6.27718,9.246653,8.760602,6.6088796,6.2368264,6.288028,5.2571983,5.686894,5.216553,3.481251,2.063985,2.6287982,1.7565022,2.1232815,3.350951,4.0427423,6.263913,7.809896,6.880615,5.1590867,6.5493636,7.227706,6.404217,7.397442,7.120488,6.4981203,5.5386443,4.5364013,5.3849335,4.2885823,3.980059,3.7619781,4.5829573,3.8915174,4.1651607,5.6421432,6.373944,4.8296447,3.7009392,4.732267,3.5867643,3.2887363,3.4976506,3.1633923,3.4984066,3.326495,2.8373375,2.8592498,3.2130544,2.6149395,3.1596317,2.9655042,3.003558,2.52763,3.5317464,4.250315,3.2098742,2.7512894,1.8548933,2.5132432,2.908227,3.004445,2.8573852,2.74998,2.665833,1.7723461,0.5480089,0.25800154,1.2976147,2.4067743,3.0788238,3.4548998,3.4503808,2.717403,2.8250911,3.0992057,3.3250644,3.4390273,4.011058,4.451421,4.1339846,3.2463644,2.674374,3.2631702,3.3063898,3.8988762,3.950038,3.9221923,3.5693953,3.2465496,3.0561845,3.481637,4.1013927,3.6700137,4.047904,5.3010874,6.1978354,6.963422,0.0,A
0.7283534,0.7629641,0.7356757,0.77127635,0.7497831,0.7874585,0.7701734,0.8085749,0.79848266,0.83818656,0.83389395,0.87324274,0.87718916,0.9156498,0.9278107,0.96683395,0.9861072,1.0243038,1.0517524,1.0871202,1.123859,1.1569991,1.2020123,1.2316363,1.2797472,1.285092,1.3147986,1.176226,1.7119224,2.6568146,2.94978,3.1276307,3.07141,2.9116855,2.719304,2.726101,2.6134057,2.7469928,3.3951185,3.7677858,4.524729,5.0558047,5.2351913,6.4699273,6.275691,7.219321,7.2608232,7.6392727,7.8875103,8.317552,8.352816,8.805265,8.425031,8.588017,9.2496,8.929883,9.213488,7.750281,7.6063724,8.129874,8.811183,9.092297,9.354978,9.409407,9.776254,9.534253,9.235027,8.883419,8.882667,9.438101,10.298026,10.217857,10.453537,11.397273,12.044316,11.946176,11.580459,11.362253,12.169335,12.113766,12.032846,13.277869,15.895737,15.586582,12.890872,15.197351,15.859851,13.587417,12.265498,10.688081,11.684998,11.796854,12.788222,13.665073,12.851355,13.561207,13.42199,13.016309,11.7221365,11.765864,12.342459,13.990374,15.218266,15.637001,14.289922,13.859317,14.592212,14.151569,13.694887,11.850116,10.2082205,9.628884,10.732671,9.4810505,9.778231,9.616463,10.621862,12.196258,14.461458,13.764472,12.275105,14.398919,14.661784,13.85095,14.25127,13.68396,13.89727,12.25171,12.158983,12.481816,10.59399,10.559447,10.327094,11.6349945,11.319789,11.275457,11.357488,9.885472,8.377968,6.8266706,7.074211,5.7951384,7.3277893,7.13439,6.296136,8.088679,8.243774,7.2696204,6.9833937,7.119356,6.004783,5.360347,5.6270247,5.2086926,6.2946663,8.642998,9.809369,8.054959,7.861983,8.048576,9.025848,9.00508,8.7873955,8.878662,8.648627,7.5097322,7.005002,6.3831663,7.3053484,7.5190578,9.89408,9.31635,9.029186,9.320555,10.971503,12.237737,11.249806,10.95423,15.108866,15.213968,11.315682,9.11371,6.8778567,6.9189696,4.649569,5.5249195,5.6385307,3.749616,2.8736498,4.979729,7.742827,6.609423,5.6997495,2.5941026,4.502616,4.539527,4.695147,4.8021483,5.9109654,0.0,A
0.4036497,0.24971277,0.20427528,0.36046907,0.4736151,0.46485725,0.33795613,0.22032596,0.32701635,0.48161936,0.5314589,0.449509,0.3048288,0.31270647,0.4771807,0.5837554,0.5523848,0.41309702,0.32668966,0.4516149,0.5928969,0.60497487,0.48207507,0.35514098,0.43762895,0.5687546,0.52926064,0.23404925,0.32966542,1.0516393,1.8253455,2.5178063,3.0418055,3.374405,3.5739539,3.7133198,3.832047,3.906342,3.880609,3.7207778,3.459195,3.1580973,2.906387,2.7883205,2.8765938,3.166746,3.5353272,3.8141575,3.9112306,3.896276,4.0054145,4.414039,5.0010276,5.4618974,5.590546,5.4105425,5.1650314,5.176423,5.494359,5.8432693,5.9154906,5.5946,5.0061827,4.4423795,4.1595044,4.139141,4.136955,4.042562,3.9239378,3.9160228,3.9987345,3.9786785,3.6738448,3.0475283,2.2215157,1.4802463,1.2252878,1.4225876,1.652088,1.8007324,1.9150715,2.0258787,2.1055157,2.148334,2.1666934,2.1542842,2.052132,1.7822492,1.3070012,0.6707264,0.052606408,0.580845,0.9230797,1.080715,1.3195729,1.8118213,2.3445418,2.6591263,2.6887553,2.6676657,2.9999602,3.7164052,4.4686074,5.0236588,5.432284,5.898148,6.4995737,7.0343533,7.221066,6.9511003,6.420539,6.016266,5.967957,6.039703,5.823262,5.1597166,4.4029408,4.3714237,5.325973,6.5039845,7.2787523,7.549924,7.6689386,8.06259,8.697275,9.117586,8.967242,8.323571,7.6603146,7.392459,7.369451,7.1050153,6.4558167,5.925379,6.250002,7.2645073,8.076022,8.043621,7.047509,5.4727216,4.1687384,3.958701,4.384877,4.57915,4.4482617,4.4323273,4.77325,5.125445,5.0735006,4.6021204,4.103364,3.9752662,4.065126,3.9457514,3.529213,3.1203995,3.1066933,3.610045,4.6706977,6.27941,8.069303,9.416984,9.742618,8.746122,6.547695,3.7786357,2.3645012,3.9145486,5.483125,6.1900315,6.266123,6.2550015,6.4508605,6.7077622,6.901158,7.2703524,8.088597,9.126838,9.773879,9.489813,8.104287,6.05963,4.986156,6.475399,8.83972,10.368484,10.400136,8.984379,6.8590117,5.496686,5.88788,6.7852516,7.0498056,6.9387712,7.5855227,9.313035,11.036651,11.614468,10.5581255,0.0,A
